Title,Year,Running time,Country,Language,Release date,Box office,Genre,Imdb Rating
Planes: Fire & Rescue,2014,84,USA,English,2014/7/15,147000000,Comedy,6
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,81,USA,English,2014/10/6,100600000,Comedy,6.2
Big Hero 6,2014,102,USA,English,2014/10/23,657900000,Action,7.8
Into the Woods,2014,124,USA,English,2014/12/8,213100000,Comedy,5.9
"McFarland, USA",2015,129,USA,English,2015/2/9,45700000,Drama,7.4
Tinker Bell and theLegend of the NeverBeast,2014,76,USA,English,2014/12/12,31200000,Fantasy,7.2
Cinderella,2015,106,USA,English,2015/2/13,542400000,Drama,6.9
Monkey Kingdom,2015,82,USA,English,2015/4/17,17100000,Documentary,7.3
Tomorrowland,2015,130,USA,English,2015/5/9,209000000,Action,6.4
Inside Out,2015,95,USA,English,2015/5/18,858800000,Comedy,8.1
The Good Dinosaur,2015,97,USA,English,2015/11/10,332200000,Comedy,6.7
The Finest Hours,2016,117,USA,English,2016/1/25,52100000,Action,6.8
Zootopia,2016,108,USA,English,2016/2/13,1024000000,Comedy,8
The Jungle Book,2016,106,USA,English,2016/4/4,966600000,Drama,7.4
Alice Through the Looking Glass,2016,113,USA,English,2016/5/10,299500000,Fantasy,6.2
Finding Dory,2016,97,USA,English,2016/6/8,1029000000,Comedy,7.3
The BFG,2016,118,USA,English,2016/5/14,195200000,Fantasy,6.4
Pete's Dragon,2016,103,USA,English,2016/8/8,143700000,Action,6.7
Queen of Katwe,2016,124,USA,English,2016/9/10,10400000,Drama,7.4
Moana,2016,107,USA,English,2016/11/14,645000000,Comedy,7.6
March of the Penguins,2005,80,France,French,2005/6/24,127400000,Documentary,7.5
Beauty and the Beast,2017,129,USA,English,2017/2/23,1264000000,Fantasy,8
Pirates of the Caribbean:Dead Men Tell No Tales,2017,129,USA,English,2017/5/11,794900000,Action,6.5
Cars 3,2017,102,USA,English,2017/5/23,383900000,Comedy,6.7
Jagga Jasoos,2017,162,India,Hindi,2017/7/14,10764120,Action,6.5
Coco,2017,105,USA,English,2017/10/20,807800000,Comedy,8.4
A Wrinkle in Time,2018,109,USA,English,2018/2/26,133400000,Fantasy,4.2
